city_name,activity_name,activity_description,activity_location,latitude,longitude,google_rating,category,families,couples,solo,child-friendly,21+,cost,ada_accessibility,interactivity,atmosphere,estimated_duration,reservation_needed,rare_find,person_responses
Charlottesville,Blue Ridge Parkway,"Scenic drive with overlooks, hiking trails, and picnic areas","Blue Ridge Parkway, VA",37.4333,-79.5,4.9,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,3,0,1,1
Charlottesville,Blue Ridge Tunnel Trail,Historic railroad tunnel turned into a hiking trail with scenic views,"Afton, VA",38.0312,-78.4665,4.7,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,2,0,1,1
Charlottesville,Carter Mountain Orchard,Pick-your-own fruit orchard with stunning views and a country store,"1435 Carters Mountain Trail, VA",37.9976,-78.4665,4.7,Food,1,1,1,0,1,Low,1,Self-guided,Relaxing,2,0,1,1
Charlottesville,Downtown Mall,"Pedestrian mall with shops, restaurants, and live entertainment","E Main St, Charlottesville, VA",38.0306,-78.4812,4.6,Food,1,1,1,1,1,Low,1,Self-guided,Bustling,2,0,0,1
Charlottesville,IX Art Park,"Outdoor art park with murals, sculptures, and interactive installations","522 2nd St SE, Charlottesville, VA",38.0296,-78.4784,4.5,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,1.5,0,1,1
Charlottesville,James River Batteau Tour,River tour on a historic flat-bottomed boat,"Scottsville, VA",37.8012,-78.4964,4.8,Park/Garden,1,1,1,0,1,Medium,1,Guided,Relaxing,2,1,1,1
Charlottesville,McIntire Park,"Large park with playgrounds, sports fields, and picnic areas","725 Forest Hills Ave, Charlottesville, VA",38.0456,-78.4856,4.5,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,2,0,0,1
Charlottesville,Michie Tavern,Historic tavern offering traditional Southern fare in a colonial setting,"683 Thomas Jefferson Pkwy, Charlottesville, VA",38.0096,-78.4523,4.5,Food,1,1,1,1,1,Medium,1,Self-guided,Educational,1.5,0,0,1
Charlottesville,Monticello Wine Trail,Trail featuring multiple wineries with tastings and scenic views,"Charlottesville, VA",38.0293,-78.4767,4.8,Food,1,1,1,1,1,Medium,1,Self-guided,Relaxing,3,0,1,1
Charlottesville,Pen Park,"Large park with playgrounds, sports fields, and a golf course","1400 Pen Park Rd, Charlottesville, VA",38.0576,-78.4512,4.7,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,2,0,0,1
Charlottesville,Ragged Mountain Natural Area,Natural area with hiking trails and a reservoir,"Reservoir Rd, Charlottesville, VA",38.0293,-78.4767,4.7,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,2.5,0,1,1
Charlottesville,Rivanna River Company,Kayak and canoe rentals for exploring the Rivanna River,"1518 E High St, Charlottesville, VA",38.0312,-78.4665,4.8,Park/Garden,1,1,1,0,1,Medium,1,Self-guided,Exciting,3,0,1,1
Charlottesville,Rivanna Trail,"Network of trails for hiking, running, and biking","Charlottesville, VA",38.0293,-78.4767,4.7,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,3,0,1,1
Charlottesville,Saunders-Monticello Trail,Scenic trail with boardwalks and views of Monticello,"931 Thomas Jefferson Pkwy, VA",38.0096,-78.4523,4.8,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,2,0,1,1
Charlottesville,Shenandoah National Park,"National park with hiking trails, waterfalls, and scenic drives","3655 US Hwy 211 E, Luray, VA",38.2928,-78.6796,4.9,Park/Garden,1,1,1,0,1,Low,1,Self-guided,Relaxing,4,0,1,1
Charlottesville,The Fralin Museum of Art,Art museum with diverse collections and rotating exhibits,"155 Rugby Rd, Charlottesville, VA",38.0366,-78.5034,4.6,Museum,1,1,1,0,1,Low,1,Self-guided,Educational,1.5,0,0,1
Charlottesville,The Looking Glass,Immersive art experience with interactive exhibits and installations,"522 2nd St SE, Charlottesville, VA",38.0293,-78.4783,4.5,Museum,1,1,1,0,1,Low,1,Hands-on,Educational,2,0,1,1
Charlottesville,The Paramount Theater,"Historic theater offering movies, concerts, and live performances","215 E Main St, Charlottesville, VA",38.0306,-78.4803,4.8,Movie,1,1,1,1,1,Medium,1,Guided,Exciting,2.5,1,0,1
Charlottesville,The Wool Factory,Historic textile mill turned into a dining and event space with restaurants and shops,"1837 Broadway St, Charlottesville, VA",38.0293,-78.4783,4.6,Food,1,1,1,1,1,Medium,1,Self-guided,Bustling,2,0,1,1
Charlottesville,Three Notch'd Brewing Company,Local brewery with a variety of craft beers and a family-friendly atmosphere,"520 2nd St SE, Charlottesville, VA",38.0293,-78.4783,4.6,Drinks,1,1,1,1,1,Medium,1,Self-guided,Bustling,2,0,1,1
Charlottesville,Virginia Discovery Museum,Interactive children's museum with hands-on exhibits,"524 E Main St, Charlottesville, VA",38.0306,-78.4784,4.6,Museum,1,1,1,0,1,Low,1,Hands-on,Educational,2,0,0,1
